Date,Source_currency,Target_currency,Exchange_rate
2022-01-03,GBP,GIP,1.01706
2022-01-03,GBP,GMD,71.38777
2022-01-03,GBP,GNF,12588.896941
2022-01-03,GBP,GTQ,10.408806
2022-01-03,GBP,GYD,282.178079
2022-01-03,GBP,HKD,10.513129
2022-01-03,GBP,HNL,32.96351
2022-01-03,GBP,HRK,8.972736
2022-01-03,GBP,HTG,134.808386
2022-01-03,GBP,HUF,438.012774
2022-01-03,GBP,IDR,19292.864606
2022-01-03,GBP,ILS,4.194533
2022-01-03,GBP,IMP,1.01706
2022-01-03,GBP,INR,100.310425
2022-01-03,GBP,IQD,1968.384509
2022-01-03,GBP,IRR,56961.811958
2022-01-03,GBP,ISK,176.129486
2022-01-03,GBP,JEP,1.01706
2022-01-03,GBP,JMD,207.596505
2022-01-03,GBP,JOD,0.9559
2022-01-03,GBP,JPY,155.500991
2022-01-03,GBP,KES,152.549451
2022-01-03,GBP,KGS,114.333625
2022-01-03,GBP,KHR,5493.949404
2022-01-03,GBP,KMF,588.15602
2022-01-03,GBP,KPW,1213.387607
2022-01-03,GBP,KRW,1612.040204
2022-01-03,GBP,KWD,0.40786
2022-01-03,GBP,KYD,1.123938
2022-01-03,GBP,KZT,586.684215
2022-01-03,GBP,LAK,15106.677469
2022-01-03,GBP,LBP,2036.900496
2022-01-03,GBP,LKR,273.623895
2022-01-03,GBP,LRD,196.501347
2022-01-03,GBP,LSL,21.342554
2022-01-03,GBP,LTL,3.980909
2022-01-03,GBP,LVL,0.815518
2022-01-03,GBP,LYD,6.223196
2022-01-03,GBP,MAD,12.501263
2022-01-03,GBP,MDL,23.966437
2022-01-03,GBP,MGA,5345.646746
2022-01-03,GBP,MKD,73.557095
2022-01-03,GBP,MMK,2398.044283
2022-01-03,GBP,MNT,3853.698679
2022-01-03,GBP,MOP,10.832582
2022-01-03,GBP,MRO,481.310227
2022-01-03,GBP,MUR,58.768837
2022-01-03,GBP,MVR,20.829446
2022-01-03,GBP,MWK,1098.790204
2022-01-03,GBP,MXN,27.635177
2022-01-03,GBP,MYR,5.625405
2022-01-03,GBP,MZN,86.056245
2022-01-03,GBP,NAD,21.355389
2022-01-03,GBP,NGN,556.459465
2022-01-03,GBP,NIO,47.692863
2022-01-03,GBP,NOK,11.962756
2022-01-03,GBP,NPR,160.389459
2022-01-03,GBP,NZD,1.986004
2022-01-03,GBP,OMR,0.519053
2022-01-03,GBP,PAB,1.348773
2022-01-03,GBP,PEN,5.345688
2022-01-03,GBP,PGK,4.758571
2022-01-03,GBP,PHP,69.35522
2022-01-03,GBP,PKR,237.998941
2022-01-03,GBP,PLN,5.460137
2022-01-03,GBP,PYG,9268.121059
2022-01-03,GBP,QAR,4.908816
2022-01-03,GBP,RON,5.904205
2022-01-03,GBP,RSD,139.606612
2022-01-03,GBP,RUB,100.317231
2022-01-03,GBP,RWF,1369.779905
2022-01-03,GBP,SAR,5.061758
2022-01-03,GBP,SBD,10.90347
2022-01-03,GBP,SCR,19.895905
2022-01-03,GBP,SDG,589.837185
2022-01-03,GBP,SEK,12.279885
2022-01-03,GBP,SGD,1.824392
2022-01-03,GBP,SHP,1.857018
2022-01-03,GBP,SLL,15167.34598
2022-01-03,GBP,SOS,787.353592
2022-01-03,GBP,SRD,28.467383
2022-01-03,GBP,STD,27905.195333
2022-01-03,GBP,SVC,11.802095
2022-01-03,GBP,SYP,3387.364297
2022-01-03,GBP,SZL,21.355969
2022-01-03,GBP,THB,44.862317
2022-01-03,GBP,TJS,15.239632
2022-01-03,GBP,TMT,4.71873
2022-01-03,GBP,TND,3.889559
2022-01-03,GBP,TOP,3.065291
2022-01-03,GBP,TRY,17.631736
2022-01-03,GBP,TTD,9.170372
2022-01-03,GBP,TWD,37.201114
2022-01-03,GBP,TZS,3100.880038
2022-01-03,GBP,UAH,36.796004
2022-01-03,GBP,UGX,4781.172894
2022-01-03,GBP,UYU,60.308765
2022-01-03,GBP,UZS,14611.206273
2022-01-03,GBP,VEF,288287737824.7637
2022-01-03,GBP,VND,30813.306819
2022-01-03,GBP,VUV,152.688197
2022-01-03,GBP,WST,3.505573
2022-01-03,GBP,XAF,779.074878
2022-01-03,GBP,XAG,0.058826
2022-01-03,GBP,XAU,0.000747
2022-01-03,GBP,XCD,3.643601
2022-01-03,GBP,XDR,0.963693
2022-01-03,GBP,XOF,779.932022
2022-01-03,GBP,XPF,143.247912
2022-01-03,GBP,YER,337.389557
2022-01-03,GBP,ZAR,21.402133
2022-01-03,GBP,ZMK,12135.49857
2022-01-03,GBP,ZMW,22.480278
2022-01-03,GBP,ZWL,434.122609
