Date,Source_currency,Target_currency,Exchange_rate
2022-01-02,EUR,RSD,117.578742
2022-01-02,EUR,RUB,85.313656
2022-01-02,EUR,RWF,1154.346998
2022-01-02,EUR,SAR,4.271085
2022-01-02,EUR,SBD,9.205118
2022-01-02,EUR,SCR,15.474914
2022-01-02,EUR,SDG,497.562015
2022-01-02,EUR,SEK,10.288325
2022-01-02,EUR,SGD,1.53353
2022-01-02,EUR,SHP,1.566503
2022-01-02,EUR,SLL,12800.172624
2022-01-02,EUR,SOS,664.175979
2022-01-02,EUR,SRD,23.664696
2022-01-02,EUR,STD,23539.558855
2022-01-02,EUR,SVC,9.953377
2022-01-02,EUR,SYP,2857.427095
2022-01-02,EUR,SZL,18.140201
2022-01-02,EUR,THB,37.81494
2022-01-02,EUR,TJS,12.853373
2022-01-02,EUR,TMT,3.99188
2022-01-02,EUR,TND,3.270605
2022-01-02,EUR,TOP,2.586872
2022-01-02,EUR,TRY,15.299914
2022-01-02,EUR,TTD,7.726454
2022-01-02,EUR,TWD,31.522318
2022-01-02,EUR,TZS,2622.585703
2022-01-02,EUR,UAH,31.03434
2022-01-02,EUR,UGX,4032.499595
2022-01-02,EUR,UYU,50.752463
2022-01-02,EUR,UZS,12305.452199
2022-01-02,EUR,VEF,243186478033.9399
2022-01-02,EUR,VND,25992.709986
2022-01-02,EUR,VUV,128.800847
2022-01-02,EUR,WST,2.957142
2022-01-02,EUR,XAF,659.172439
2022-01-02,EUR,XAG,0.048827
2022-01-02,EUR,XAU,0.000622
2022-01-02,EUR,XCD,3.073577
2022-01-02,EUR,XDR,0.812765
2022-01-02,EUR,XOF,659.057648
2022-01-02,EUR,XPF,120.382047
2022-01-02,EUR,YER,284.605769
2022-01-02,EUR,ZAR,18.156679
2022-01-02,EUR,ZMK,10236.956907
2022-01-02,EUR,ZMW,18.95111
2022-01-02,EUR,ZWL,366.20617
2022-01-03,EUR,GBP,0.838136
2022-01-03,EUR,USD,1.129982
2022-01-03,EUR,AED,4.15054
2022-01-03,EUR,AFN,117.235943
2022-01-03,EUR,ALL,120.060423
2022-01-03,EUR,AMD,544.187906
2022-01-03,EUR,ANG,2.037327
2022-01-03,EUR,AOA,626.240367
2022-01-03,EUR,ARS,116.341226
2022-01-03,EUR,AUD,1.570112
2022-01-03,EUR,AWG,2.034532
2022-01-03,EUR,AZN,1.922689
2022-01-03,EUR,BAM,1.946925
2022-01-03,EUR,BBD,2.282411
2022-01-03,EUR,BDT,96.982226
2022-01-03,EUR,BGN,1.956391
2022-01-03,EUR,BHD,0.425995
2022-01-03,EUR,BIF,2265.613364
2022-01-03,EUR,BMD,1.129982
2022-01-03,EUR,BND,1.526054
2022-01-03,EUR,BOB,7.805572
2022-01-03,EUR,BRL,6.421009
2022-01-03,EUR,BSD,1.130455
2022-01-03,EUR,BTC,2.4337142e-05
2022-01-03,EUR,BTN,84.015433
2022-01-03,EUR,BWP,13.2918
2022-01-03,EUR,BYN,2.89038
2022-01-03,EUR,BYR,22147.641862
2022-01-03,EUR,BZD,2.278578
2022-01-03,EUR,CAD,1.440868
2022-01-03,EUR,CDF,2263.917394
2022-01-03,EUR,CHF,1.037923
2022-01-03,EUR,CLF,0.034883
2022-01-03,EUR,CLP,962.511173
2022-01-03,EUR,CNY,7.182274
2022-01-03,EUR,COP,4593.183626
2022-01-03,EUR,CRC,725.670951
2022-01-03,EUR,CUC,1.129982
2022-01-03,EUR,CUP,29.944516
2022-01-03,EUR,CVE,110.596988
2022-01-03,EUR,CZK,24.814505
2022-01-03,EUR,DJF,200.820674
2022-01-03,EUR,DKK,7.437554
2022-01-03,EUR,DOP,64.776189
2022-01-03,EUR,DZD,157.233244
2022-01-03,EUR,EGP,17.789983
2022-01-03,EUR,ERN,16.949814
2022-01-03,EUR,ETB,55.651207
2022-01-03,EUR,FJD,2.404827
2022-01-03,EUR,FKP,0.852434
2022-01-03,EUR,GEL,3.491931
2022-01-03,EUR,GGP,0.852434
2022-01-03,EUR,GHS,6.948785
2022-01-03,EUR,GIP,0.852434
2022-01-03,EUR,GMD,59.832639
2022-01-03,EUR,GNF,10551.203911
2022-01-03,EUR,GTQ,8.723992
2022-01-03,EUR,GYD,236.503521
2022-01-03,EUR,HKD,8.811428
2022-01-03,EUR,HNL,27.627895
2022-01-03,EUR,HRK,7.520371
